order_id,customer_id,product_id,quantity,total_amount,status,ordered_at
104,44,3,3,145.38,pending,2025-09-26T00:00:00+00:00
105,44,23,3,1314.54,pending,2025-12-28T00:00:00+00:00
106,19,3,6,290.76,paid,2025-06-07T00:00:00+00:00
107,42,14,4,1120.56,shipped,2025-12-25T00:00:00+00:00
108,19,16,2,807.54,shipped,2025-07-30T00:00:00+00:00
109,15,3,2,96.92,paid,2026-02-06T00:00:00+00:00
110,38,27,1,133.47,cancelled,2026-03-26T00:00:00+00:00
111,36,17,1,216.4,paid,2026-01-14T00:00:00+00:00
112,33,20,2,529.16,cancelled,2026-02-16T00:00:00+00:00
113,13,28,5,384.45,paid,2025-12-31T00:00:00+00:00
114,37,23,6,2629.08,cancelled,2025-03-01T00:00:00+00:00
115,32,17,1,216.4,pending,2025-05-23T00:00:00+00:00
116,50,27,4,533.88,paid,2025-06-08T00:00:00+00:00
117,14,8,3,84.12,paid,2026-02-17T00:00:00+00:00
118,28,17,5,1082.0,shipped,2025-10-17T00:00:00+00:00
119,31,10,1,166.69,cancelled,2025-11-05T00:00:00+00:00
120,23,22,5,1478.6,paid,2025-07-11T00:00:00+00:00
121,10,23,1,438.18,pending,2025-01-12T00:00:00+00:00
122,29,17,2,432.8,shipped,2025-05-19T00:00:00+00:00
123,39,26,4,1286.76,cancelled,2025-06-26T00:00:00+00:00
124,3,17,6,1298.4,paid,2025-03-07T00:00:00+00:00
125,18,30,3,1179.39,pending,2026-02-18T00:00:00+00:00
126,35,3,1,48.46,cancelled,2025-10-12T00:00:00+00:00
127,34,25,2,323.26,pending,2025-05-06T00:00:00+00:00
128,34,19,6,1279.02,shipped,2025-03-26T00:00:00+00:00
129,22,18,4,885.08,pending,2025-12-16T00:00:00+00:00
130,1,16,4,1615.08,paid,2025-01-31T00:00:00+00:00
131,38,28,2,153.78,cancelled,2026-03-06T00:00:00+00:00
132,9,1,1,132.98,shipped,2025-07-03T00:00:00+00:00
133,30,21,4,351.84,shipped,2025-08-21T00:00:00+00:00
134,18,5,1,444.87,cancelled,2025-05-30T00:00:00+00:00
135,49,12,1,79.81,pending,2025-06-08T00:00:00+00:00
136,3,26,6,1930.14,paid,2025-08-05T00:00:00+00:00
137,24,26,4,1286.76,paid,2025-05-19T00:00:00+00:00
138,42,26,4,1286.76,shipped,2025-08-03T00:00:00+00:00
139,12,13,4,285.4,cancelled,2025-04-06T00:00:00+00:00
140,16,4,4,369.72,shipped,2025-02-03T00:00:00+00:00
141,4,14,3,840.42,pending,2025-02-02T00:00:00+00:00
142,18,23,2,876.36,pending,2025-10-16T00:00:00+00:00
143,46,20,3,793.74,pending,2025-11-06T00:00:00+00:00
144,38,25,4,646.52,paid,2025-07-02T00:00:00+00:00
145,35,16,4,1615.08,pending,2025-03-01T00:00:00+00:00
146,13,16,4,1615.08,paid,2025-02-24T00:00:00+00:00
147,10,23,4,1752.72,shipped,2026-02-28T00:00:00+00:00
148,44,4,3,277.29,pending,2026-01-18T00:00:00+00:00
149,43,7,4,1457.48,pending,2025-05-06T00:00:00+00:00
150,7,27,5,667.35,shipped,2025-01-10T00:00:00+00:00
151,20,9,1,68.77,shipped,2025-01-28T00:00:00+00:00
152,30,5,2,889.74,pending,2025-01-29T00:00:00+00:00
153,36,22,6,1774.32,cancelled,2025-05-28T00:00:00+00:00
154,47,25,3,484.89,paid,2025-05-23T00:00:00+00:00
155,15,14,3,840.42,shipped,2025-04-19T00:00:00+00:00
156,11,11,5,2259.15,cancelled,2025-08-28T00:00:00+00:00
157,41,25,3,484.89,cancelled,2025-01-07T00:00:00+00:00
158,49,8,4,112.16,paid,2025-08-30T00:00:00+00:00
159,41,20,3,793.74,pending,2025-04-26T00:00:00+00:00
160,40,29,3,996.39,pending,2026-01-30T00:00:00+00:00
161,21,21,5,439.8,shipped,2025-01-14T00:00:00+00:00
162,20,16,6,2422.62,cancelled,2026-02-24T00:00:00+00:00
163,23,10,4,666.76,shipped,2026-03-02T00:00:00+00:00
164,15,16,5,2018.85,paid,2025-08-08T00:00:00+00:00
165,35,27,6,800.82,shipped,2025-04-10T00:00:00+00:00
166,41,15,3,827.61,paid,2025-12-03T00:00:00+00:00
167,18,6,1,44.7,pending,2025-10-19T00:00:00+00:00
168,37,26,4,1286.76,pending,2025-01-22T00:00:00+00:00
169,33,21,2,175.92,cancelled,2025-05-10T00:00:00+00:00
170,10,5,4,1779.48,shipped,2026-02-07T00:00:00+00:00
171,41,25,6,969.78,paid,2026-03-21T00:00:00+00:00
172,33,27,1,133.47,shipped,2025-11-29T00:00:00+00:00
173,38,20,3,793.74,cancelled,2025-03-06T00:00:00+00:00
174,39,11,4,1807.32,paid,2025-01-22T00:00:00+00:00
175,22,26,1,321.69,cancelled,2025-01-02T00:00:00+00:00
176,11,27,4,533.88,shipped,2025-03-23T00:00:00+00:00
177,7,22,2,591.44,shipped,2025-04-26T00:00:00+00:00
178,3,24,6,149.04,shipped,2025-01-26T00:00:00+00:00
179,44,29,2,664.26,cancelled,2025-09-29T00:00:00+00:00
180,9,27,2,266.94,shipped,2025-08-20T00:00:00+00:00
181,30,22,2,591.44,paid,2026-02-09T00:00:00+00:00
182,27,3,6,290.76,paid,2025-03-11T00:00:00+00:00
183,26,26,2,643.38,shipped,2026-03-17T00:00:00+00:00
184,37,4,2,184.86,pending,2026-02-25T00:00:00+00:00
185,15,23,2,876.36,cancelled,2025-09-10T00:00:00+00:00
186,28,24,1,24.84,shipped,2025-01-12T00:00:00+00:00
187,11,12,5,399.05,cancelled,2026-01-12T00:00:00+00:00
188,48,5,5,2224.35,shipped,2025-04-30T00:00:00+00:00
189,1,10,4,666.76,paid,2025-11-05T00:00:00+00:00
190,1,10,1,166.69,pending,2026-01-18T00:00:00+00:00
191,8,3,6,290.76,cancelled,2025-05-18T00:00:00+00:00
192,41,22,6,1774.32,shipped,2025-09-10T00:00:00+00:00
193,17,7,4,1457.48,cancelled,2026-01-05T00:00:00+00:00
194,22,7,1,364.37,cancelled,2026-03-07T00:00:00+00:00
195,23,10,6,1000.14,cancelled,2025-03-16T00:00:00+00:00
196,6,11,4,1807.32,cancelled,2025-08-03T00:00:00+00:00
197,13,22,2,591.44,pending,2026-02-19T00:00:00+00:00
198,47,21,3,263.88,shipped,2025-07-16T00:00:00+00:00
199,13,12,2,159.62,cancelled,2025-02-20T00:00:00+00:00
200,38,1,3,398.94,cancelled,2026-02-24T00:00:00+00:00
