transaction_id,order_id,currency,amount,processor,occurred_at
59,3,CHF,24.613956,adyen,2026-01-01T00:33:00+00:00
60,119,GBP,170.0238,paypal,2025-10-30T11:48:00+00:00
61,67,USD,210.766296,adyen,2026-05-01T14:13:00+00:00
62,143,USD,775.563354,adyen,2025-11-30T21:52:00+00:00
63,11,EUR,93.808868,adyen,2025-08-26T06:02:00+00:00
64,142,USD,868.735668,stripe,2026-05-24T07:34:00+00:00
65,30,USD,823.771554,stripe,2025-09-06T10:14:00+00:00
66,101,USD,289.962153,adyen,2025-10-11T11:44:00+00:00
67,25,USD,414.094185,stripe,2025-07-07T12:09:00+00:00
68,187,CHF,392.34596,paypal,2025-12-21T20:41:00+00:00
69,16,CHF,416.52672,adyen,2025-08-11T01:09:00+00:00
70,46,USD,140.56452,stripe,2025-12-16T04:19:00+00:00
71,179,GBP,681.53076,paypal,2025-11-25T00:59:00+00:00
72,190,CHF,161.839321,stripe,2025-06-27T04:30:00+00:00
73,99,USD,558.857446,adyen,2026-01-11T09:49:00+00:00
74,64,EUR,2645.103186,paypal,2025-12-17T05:48:00+00:00
75,125,EUR,1124.312487,stripe,2025-10-14T08:12:00+00:00
76,116,CHF,558.385092,stripe,2025-12-08T21:22:00+00:00
77,184,USD,186.819516,paypal,2026-04-16T19:10:00+00:00
78,181,CHF,597.827552,stripe,2025-07-16T05:49:00+00:00
79,43,CHF,320.576942,stripe,2025-08-10T11:08:00+00:00
80,82,GBP,106.821184,stripe,2026-04-23T00:44:00+00:00
81,46,CHF,143.69098,paypal,2026-02-14T21:49:00+00:00
82,174,GBP,1886.119152,stripe,2026-02-09T23:54:00+00:00
83,16,EUR,443.87968,paypal,2025-10-04T14:00:00+00:00
84,15,USD,919.902186,paypal,2026-02-22T13:28:00+00:00
85,198,CHF,265.225788,stripe,2026-01-27T14:30:00+00:00
86,182,GBP,300.413232,stripe,2026-03-27T00:11:00+00:00
87,51,USD,1316.741508,adyen,2026-03-15T04:04:00+00:00
88,127,EUR,338.841132,stripe,2025-08-29T17:49:00+00:00
89,160,EUR,1004.660037,adyen,2025-11-17T01:19:00+00:00
90,21,USD,1269.903444,stripe,2026-01-20T13:26:00+00:00
91,124,CHF,1261.78512,paypal,2026-05-30T12:01:00+00:00
92,101,USD,277.317729,stripe,2026-04-10T20:14:00+00:00
93,60,GBP,45.8175,paypal,2025-09-18T23:24:00+00:00
94,91,CHF,420.230295,paypal,2026-03-18T22:45:00+00:00
95,123,EUR,1327.164264,adyen,2026-04-12T10:52:00+00:00
96,50,USD,132.028524,stripe,2026-03-16T22:26:00+00:00
97,45,USD,281.55636,adyen,2025-07-08T02:10:00+00:00
98,176,EUR,531.74448,adyen,2026-02-14T10:49:00+00:00
99,114,EUR,2523.653892,adyen,2026-04-06T18:26:00+00:00
100,47,EUR,2720.739528,adyen,2025-11-27T02:58:00+00:00
101,141,CHF,803.86173,paypal,2026-04-13T03:25:00+00:00
102,187,GBP,418.244305,stripe,2026-05-02T14:21:00+00:00
103,184,CHF,188.132022,stripe,2025-09-19T09:05:00+00:00
104,102,CHF,2261.382336,adyen,2025-06-04T08:17:00+00:00
105,150,GBP,685.10151,adyen,2025-10-11T00:55:00+00:00
106,37,GBP,466.49421,paypal,2025-08-17T22:39:00+00:00
107,134,USD,446.471532,stripe,2026-05-05T06:54:00+00:00
108,188,USD,2253.044115,paypal,2025-07-25T08:24:00+00:00
109,61,CHF,311.364032,stripe,2026-03-18T20:18:00+00:00
110,13,CHF,55.676224,stripe,2025-07-08T05:06:00+00:00
111,13,EUR,54.408816,adyen,2026-02-27T09:49:00+00:00
112,55,USD,1374.36081,paypal,2025-12-30T21:13:00+00:00
113,36,USD,844.109952,paypal,2026-02-26T04:13:00+00:00
114,49,CHF,743.203856,adyen,2025-09-07T01:13:00+00:00
115,76,GBP,1086.420905,adyen,2026-05-15T04:49:00+00:00
116,29,CHF,508.116231,paypal,2025-12-19T09:23:00+00:00
117,164,EUR,2027.531055,adyen,2025-07-23T01:52:00+00:00
118,84,USD,177.37317,adyen,2025-09-04T06:48:00+00:00
119,143,CHF,817.393452,paypal,2025-12-25T11:24:00+00:00
120,17,EUR,122.17554,paypal,2025-07-01T19:20:00+00:00
121,100,GBP,242.13039,adyen,2025-08-08T23:18:00+00:00
122,25,GBP,392.625295,paypal,2026-05-02T16:12:00+00:00
123,72,EUR,161.37582,adyen,2026-01-28T23:59:00+00:00
124,196,GBP,1725.448404,paypal,2025-06-22T06:43:00+00:00
125,86,EUR,555.633702,adyen,2025-06-22T01:34:00+00:00
126,136,GBP,1900.029816,adyen,2025-06-28T20:22:00+00:00
127,93,GBP,2613.831336,stripe,2025-06-09T06:41:00+00:00
128,71,USD,473.33484,paypal,2026-05-28T03:02:00+00:00
129,107,GBP,1121.568504,paypal,2025-10-03T07:40:00+00:00
130,67,GBP,202.039383,paypal,2025-09-29T11:49:00+00:00
131,189,GBP,658.75888,stripe,2025-08-21T02:14:00+00:00
132,162,CHF,2466.22716,paypal,2026-04-06T05:54:00+00:00
133,97,CHF,484.356621,adyen,2025-10-17T01:30:00+00:00
134,131,GBP,155.179398,paypal,2025-09-26T16:55:00+00:00
135,2,USD,902.419152,stripe,2026-03-06T10:11:00+00:00
136,136,GBP,1893.274326,stripe,2026-02-20T00:38:00+00:00
137,141,EUR,848.319948,adyen,2026-01-27T01:57:00+00:00
138,175,CHF,324.553041,adyen,2025-08-25T01:56:00+00:00
139,197,EUR,610.602656,paypal,2025-10-10T11:32:00+00:00
140,100,USD,247.31561,paypal,2026-01-23T21:17:00+00:00
141,36,GBP,886.87632,adyen,2026-04-01T13:29:00+00:00
142,146,USD,1613.626428,stripe,2025-07-26T08:00:00+00:00
143,16,USD,426.35128,paypal,2025-08-08T23:11:00+00:00
144,79,EUR,221.6673,adyen,2025-12-23T23:44:00+00:00
145,71,CHF,445.146966,paypal,2026-03-30T01:14:00+00:00
146,155,USD,846.30294,adyen,2025-07-04T19:36:00+00:00
147,62,CHF,1400.346784,stripe,2025-08-31T19:13:00+00:00
148,118,EUR,1093.902,adyen,2025-08-01T02:35:00+00:00
149,162,CHF,2323.29258,stripe,2026-02-06T23:38:00+00:00
150,127,USD,309.004234,adyen,2026-02-23T07:54:00+00:00
151,63,EUR,73.506528,adyen,2026-01-04T06:13:00+00:00
152,115,USD,210.25424,stripe,2025-11-24T20:15:00+00:00
153,98,USD,127.301754,paypal,2025-12-11T18:21:00+00:00
154,102,GBP,2140.827504,adyen,2026-05-13T03:44:00+00:00
155,96,USD,139.50423,paypal,2026-03-30T16:15:00+00:00
156,193,CHF,1530.354,adyen,2025-10-21T17:28:00+00:00
157,98,EUR,131.836372,adyen,2025-07-25T08:01:00+00:00
158,43,USD,324.8763,adyen,2026-04-04T20:25:00+00:00
159,6,CHF,321.184908,stripe,2025-11-07T17:06:00+00:00
160,32,USD,451.83334,stripe,2025-09-21T18:51:00+00:00
161,16,USD,431.58816,stripe,2026-01-21T01:42:00+00:00
162,113,CHF,393.330795,adyen,2025-08-18T05:05:00+00:00
163,194,EUR,371.584526,paypal,2026-02-26T23:53:00+00:00
164,45,CHF,273.72492,stripe,2025-09-28T19:32:00+00:00
165,25,USD,400.686105,adyen,2026-03-04T22:22:00+00:00
166,89,EUR,318.645522,paypal,2026-01-07T18:50:00+00:00
167,142,EUR,892.57266,adyen,2025-06-13T17:17:00+00:00
168,141,GBP,839.15937,adyen,2026-04-18T21:44:00+00:00
169,157,USD,462.003192,adyen,2025-06-08T22:17:00+00:00
170,173,GBP,772.30902,adyen,2025-11-08T12:24:00+00:00
171,41,CHF,133.47,paypal,2026-02-18T06:31:00+00:00
172,183,EUR,653.931432,paypal,2025-12-28T16:48:00+00:00
173,181,EUR,615.39332,adyen,2026-05-24T21:28:00+00:00
174,149,CHF,1400.346784,paypal,2026-01-22T15:45:00+00:00
175,92,USD,365.66875,stripe,2026-04-23T15:18:00+00:00
176,112,USD,503.76032,paypal,2026-02-12T00:59:00+00:00
177,181,EUR,585.289024,paypal,2026-02-17T02:34:00+00:00
178,3,USD,24.60402,stripe,2026-03-02T08:32:00+00:00
179,3,GBP,25.388964,stripe,2025-10-01T09:18:00+00:00
180,75,USD,1371.42537,adyen,2026-01-24T22:18:00+00:00
181,23,USD,1715.617515,adyen,2025-09-01T19:29:00+00:00
182,188,USD,2204.77572,paypal,2025-07-09T05:46:00+00:00
183,157,EUR,474.367887,adyen,2025-11-08T07:10:00+00:00
184,40,USD,1658.848668,adyen,2026-05-03T19:48:00+00:00
185,129,CHF,868.529004,stripe,2025-11-04T23:05:00+00:00
186,80,EUR,1360.31497,adyen,2025-09-21T22:39:00+00:00
187,165,GBP,769.668102,stripe,2026-05-01T11:06:00+00:00
188,52,CHF,2047.02791,stripe,2026-05-10T06:17:00+00:00
189,136,GBP,1967.77773,adyen,2026-02-04T04:09:00+00:00
190,126,CHF,47.92694,stripe,2026-01-06T09:38:00+00:00
191,87,GBP,783.339795,stripe,2025-07-06T08:39:00+00:00
192,115,CHF,222.30772,stripe,2026-03-14T00:49:00+00:00
193,11,EUR,95.80542,paypal,2026-02-27T14:11:00+00:00
194,150,USD,665.815095,paypal,2025-11-28T16:13:00+00:00
195,11,USD,99.14916,paypal,2025-06-26T07:48:00+00:00
196,31,USD,827.321772,stripe,2025-07-15T00:03:00+00:00
197,133,EUR,363.239616,stripe,2026-01-23T21:31:00+00:00
198,185,GBP,856.378992,stripe,2025-10-22T19:02:00+00:00
199,142,USD,841.568508,stripe,2026-01-29T23:21:00+00:00
200,56,CHF,452.966634,stripe,2026-05-28T00:26:00+00:00
201,123,EUR,1283.285748,stripe,2025-09-28T17:35:00+00:00
202,60,USD,44.80728,adyen,2026-05-10T21:29:00+00:00
203,141,EUR,836.470026,paypal,2026-03-31T18:53:00+00:00
204,37,USD,454.709385,stripe,2025-08-30T15:01:00+00:00
205,183,GBP,625.622712,adyen,2025-06-05T09:49:00+00:00
206,75,EUR,1438.93911,paypal,2026-03-06T18:40:00+00:00
207,195,USD,1032.64455,stripe,2026-02-12T19:36:00+00:00
208,151,EUR,69.223882,paypal,2026-05-15T19:15:00+00:00
209,148,CHF,266.836167,paypal,2025-10-03T01:17:00+00:00
210,90,EUR,1029.344088,paypal,2025-11-18T03:17:00+00:00
211,85,USD,420.72488,adyen,2025-07-09T07:54:00+00:00
212,88,USD,1173.139233,stripe,2026-01-11T17:30:00+00:00
213,80,USD,1325.141545,paypal,2026-04-07T05:15:00+00:00
214,3,EUR,25.74666,stripe,2025-11-13T01:40:00+00:00
215,34,USD,1176.475944,paypal,2026-01-19T23:19:00+00:00
216,90,CHF,1022.443122,stripe,2025-12-07T03:22:00+00:00
217,38,CHF,513.728336,paypal,2025-10-05T16:00:00+00:00
218,129,EUR,924.820092,adyen,2026-05-09T18:46:00+00:00
219,75,EUR,1417.78854,stripe,2025-10-21T21:31:00+00:00
220,173,USD,765.641604,stripe,2025-07-10T00:21:00+00:00
221,84,EUR,186.671628,paypal,2025-06-04T23:22:00+00:00
222,95,USD,148.689882,stripe,2026-04-20T21:03:00+00:00
223,117,CHF,84.801372,paypal,2025-08-28T11:12:00+00:00
224,155,GBP,821.594592,adyen,2026-04-18T23:27:00+00:00
225,97,USD,500.357991,stripe,2026-01-15T16:51:00+00:00
226,89,USD,335.052744,stripe,2026-03-08T09:14:00+00:00
227,38,USD,529.898704,adyen,2025-09-24T10:32:00+00:00
228,148,USD,281.421621,stripe,2025-07-31T19:31:00+00:00
229,86,GBP,560.40309,paypal,2025-09-21T06:27:00+00:00
230,28,EUR,261.19998,adyen,2025-10-14T14:52:00+00:00
231,39,USD,347.142276,adyen,2026-03-18T08:51:00+00:00
232,161,GBP,460.82244,adyen,2026-04-30T11:44:00+00:00
233,140,CHF,364.876668,paypal,2026-01-15T04:10:00+00:00
234,82,USD,117.386656,adyen,2026-01-30T03:16:00+00:00
235,56,GBP,453.189069,paypal,2025-06-26T20:08:00+00:00
236,111,USD,226.44096,adyen,2026-05-07T17:29:00+00:00
237,144,USD,643.546008,adyen,2025-08-27T10:09:00+00:00
238,22,USD,1398.306312,adyen,2025-10-10T13:05:00+00:00
239,135,GBP,81.56582,stripe,2025-09-02T11:56:00+00:00
240,183,CHF,619.703616,stripe,2025-11-12T16:03:00+00:00
241,111,GBP,221.4854,paypal,2025-12-11T21:32:00+00:00
242,17,USD,129.4785,adyen,2026-03-20T20:52:00+00:00
243,99,EUR,535.684366,stripe,2025-12-17T22:18:00+00:00
244,159,CHF,810.170418,adyen,2026-04-16T21:10:00+00:00
245,139,EUR,291.07946,stripe,2026-05-06T10:57:00+00:00
246,146,EUR,1565.658552,adyen,2026-03-30T05:28:00+00:00
247,148,USD,290.433546,adyen,2025-06-23T18:37:00+00:00
248,55,USD,1374.09623,paypal,2026-02-05T02:18:00+00:00
249,110,GBP,130.213332,paypal,2025-07-21T09:01:00+00:00
250,141,EUR,828.570078,stripe,2025-06-20T11:55:00+00:00
251,125,GBP,1157.335407,stripe,2025-07-17T14:51:00+00:00
252,92,USD,356.286225,adyen,2026-01-28T19:57:00+00:00
253,56,CHF,440.688222,stripe,2025-08-14T01:37:00+00:00
254,80,USD,1378.24652,adyen,2025-06-02T21:19:00+00:00
255,35,EUR,166.301107,stripe,2025-07-21T03:40:00+00:00
256,132,CHF,128.378892,stripe,2025-09-20T03:10:00+00:00
257,168,CHF,1344.6642,paypal,2025-12-03T07:35:00+00:00
258,171,USD,994.800324,paypal,2026-02-15T13:20:00+00:00
259,33,GBP,1127.20482,stripe,2026-01-12T21:32:00+00:00
260,173,USD,818.980932,stripe,2025-10-13T21:57:00+00:00
261,23,GBP,1735.04712,adyen,2026-04-28T19:41:00+00:00
262,61,USD,335.86714,paypal,2025-10-02T14:13:00+00:00
263,166,USD,789.374418,adyen,2025-10-27T16:41:00+00:00
264,4,USD,1635.625404,paypal,2025-12-19T14:09:00+00:00
265,29,CHF,481.738215,stripe,2026-04-23T04:19:00+00:00
266,27,CHF,1121.76924,paypal,2025-11-30T08:21:00+00:00
267,195,CHF,1000.14,adyen,2025-12-15T04:31:00+00:00
268,196,CHF,1879.251336,stripe,2026-02-11T02:17:00+00:00
269,87,USD,806.85696,paypal,2026-04-06T21:50:00+00:00
270,60,GBP,44.65083,paypal,2025-08-09T22:10:00+00:00
271,175,CHF,322.076028,stripe,2026-01-03T23:11:00+00:00
272,111,EUR,219.62436,adyen,2025-08-17T09:12:00+00:00
273,143,CHF,799.375554,paypal,2025-06-24T04:18:00+00:00
274,11,GBP,95.117288,stripe,2026-04-09T05:03:00+00:00
275,74,CHF,1983.214656,adyen,2025-11-24T20:18:00+00:00
276,172,GBP,129.852963,stripe,2026-04-23T17:35:00+00:00
277,74,CHF,2065.715748,adyen,2026-05-29T11:33:00+00:00
278,12,GBP,280.15353,adyen,2025-11-11T17:02:00+00:00
279,59,GBP,758.259822,paypal,2026-01-21T20:01:00+00:00
280,168,EUR,1295.638644,paypal,2026-01-09T12:52:00+00:00
281,87,USD,769.924505,stripe,2026-03-05T18:28:00+00:00
282,86,GBP,572.714766,paypal,2025-11-25T13:04:00+00:00
283,77,CHF,1954.26675,stripe,2026-04-11T09:04:00+00:00
284,99,CHF,532.098056,paypal,2025-06-04T16:32:00+00:00
285,29,GBP,467.530938,paypal,2025-10-25T09:05:00+00:00
286,154,CHF,496.52736,stripe,2026-01-31T15:09:00+00:00
287,165,CHF,789.928848,adyen,2026-01-29T12:12:00+00:00
288,57,EUR,310.200296,paypal,2025-10-08T02:14:00+00:00
289,94,USD,1868.7087,adyen,2025-06-30T16:22:00+00:00
290,56,GBP,450.430875,paypal,2026-03-06T11:29:00+00:00
291,19,EUR,429.64116,paypal,2025-07-09T16:15:00+00:00
292,20,CHF,1447.351955,paypal,2025-12-30T17:13:00+00:00
293,23,USD,1618.80162,paypal,2026-03-08T01:19:00+00:00
294,16,EUR,445.52432,stripe,2025-10-16T11:28:00+00:00
295,64,CHF,2784.718656,stripe,2026-05-08T20:32:00+00:00
296,143,EUR,783.738876,paypal,2025-09-01T04:17:00+00:00
297,103,CHF,2120.13393,adyen,2026-03-01T07:05:00+00:00
298,156,GBP,2210.578275,stripe,2025-11-03T20:12:00+00:00
299,25,GBP,383.088,adyen,2026-02-12T16:34:00+00:00
300,77,CHF,2011.398894,stripe,2026-03-04T04:53:00+00:00
