Business Term,Technical Column,Description,Domain,Synonyms,Data Type,Owner,Mandatory,Allowed Values
Product Category,category,Top-level product classification,Product,"Product Type, Item Category",STRING,Product Management,No,
Product Price,unit_price,Standard list price for one unit of the product,Product,"List Price, MSRP, Unit Cost",DECIMAL,Finance,Yes,
Product Stock,stock_quantity,Number of units currently available in inventory,Product,"Inventory, Stock Level, Available Quantity",INTEGER,Operations,No,
Product Status,product_status,Availability status of the product in the catalog,Product,"Item Status, Availability",STRING,Product Management,Yes,"ACTIVE, INACTIVE, DISCONTINUED, DRAFT"
Employee ID,employee_id,Unique identifier for an employee record in the HR system,HR,"Staff ID, Worker ID",STRING,HR,Yes,
Employee Name,full_name,Full legal name of the employee,HR,"Staff Name, Worker Name",STRING,HR,Yes,
Employee Email,work_email,Corporate email address assigned to the employee,HR,"Work Email, Corporate Email",STRING,HR,Yes,
Employee Department,department,Organizational department where the employee is assigned,HR,"Division, Business Unit",STRING,HR,No,
Employee Role,job_title,Official job title of the employee,HR,"Position, Title, Designation",STRING,HR,No,
Manager ID,manager_id,Employee ID of the direct line manager,HR,"Supervisor ID, Reports To",STRING,HR,No,
Employee Status,employment_status,Current employment status of the employee,HR,"Headcount Status, Staff Status",STRING,HR,Yes,"ACTIVE, INACTIVE, TERMINATED, ON_LEAVE"
Hire Date,hire_date,Date when the employee officially joined the company,HR,"Start Date, Joining Date",DATE,HR,Yes,
Termination Date,termination_date,Date when the employee's employment ended,HR,"Exit Date, Last Working Day",DATE,HR,No,
Salary,base_salary,Monthly gross base salary of the employee before deductions,Finance,"Base Pay, Compensation",DECIMAL,Finance,No,
Invoice ID,invoice_id,Unique identifier for a financial invoice,Finance,"Bill ID, Invoice Number",STRING,Finance,Yes,
Invoice Date,invoice_date,Date when the invoice was issued,Finance,"Bill Date, Issue Date",DATE,Finance,Yes,
Invoice Amount,invoice_amount,Total amount stated on the invoice including taxes,Finance,"Bill Amount, Total Due",DECIMAL,Finance,Yes,
Payment Due Date,due_date,Date by which the invoice must be paid,Finance,"Payment Deadline, Settlement Date",DATE,Finance,Yes,
Payment Status,payment_status,Current payment state of the invoice,Finance,"Settlement Status, Payment State",STRING,Finance,Yes,"UNPAID, PARTIAL, PAID, OVERDUE, DISPUTED"
Transaction ID,transaction_id,Unique identifier for a financial transaction,Finance,"Payment ID, Transfer ID",STRING,Finance,Yes,
Transaction Date,transaction_date,Date and time when the financial transaction occurred,Finance,"Payment Date, Transfer Date",TIMESTAMP,Finance,Yes,
Transaction Amount,transaction_amount,Monetary value transferred in the transaction,Finance,"Payment Amount, Transfer Amount",DECIMAL,Finance,Yes,
Currency Code,currency_code,ISO 4217 three-letter currency code,Finance,"Currency, Currency ISO",STRING,Finance,Yes,
Country Code,country_code,ISO 3166-1 alpha-2 two-letter country code,Reference,"ISO Country, Country ISO",STRING,Data Governance,No,
Postal Code,postal_code,Postal or ZIP code of an address,Reference,"ZIP Code, Postcode",STRING,Data Governance,No,
Data Source ID,data_source_id,Unique identifier for a registered data source,Data Platform,,STRING,Data Engineering,Yes,
Dataset Name,dataset_name,Human-readable name for a registered dataset,Data Platform,,STRING,Data Engineering,Yes,
Record Created At,created_at,Timestamp when the record was inserted into the system,System,"Creation Timestamp, Insert Time",TIMESTAMP,Data Governance,Yes,
Record Updated At,updated_at,Timestamp when the record was last modified,System,"Last Modified, Update Time",TIMESTAMP,Data Governance,Yes,
Record Deleted At,deleted_at,Timestamp when the record was soft-deleted,System,"Deletion Time, Removed At",TIMESTAMP,Data Governance,No,
Is Active,is_active,Boolean flag indicating whether the record is active,System,"Active Flag, Active Status",BOOLEAN,Data Governance,No,"true, false"
